"id в магазине",Категория,Подкатегория,"Название товара","Короткое описание товара","Полное описание товара","Скрыт ли товар на сайте?",Артикул,Цена,Цена2,"Закупочная цена",Остаток,Ед.из.,Изображения,"Короткое SEO описание товара","Полное SEO описание товара","Заголовок страницы товара","Мета-тег keywords","Мета-тег description","URL переменная пути",Бренд,Размеры,"Русские Размеры",Цвет
2072,"ФОРМА ИГРОКА",МАНИШКИ,"МАНИШКА MAD GUY ОРАНЖЕВАЯ JR",,"Тренировочная жилетка, манишка, детская модель  MAD GUY ОРАНЖЕВАЯ JR необходима для идентификации игроков одной команды во время тренировки или игры. Манишка изготовлена из сетчатого материала Mesh, по периметру обшита каймой. Ткань состоит из волокон полиэстера, что обеспечивает изделию прочность и износостойкость, хорошие вентиляционные качества материала помогают создать благоприятный микроклимат внутри. Детали соединены при помощи крепких швов. Ткань имеет небольшой вес и обладает высокими вентиляционными свойствами. Изделие выполнено в оранжевой расцветке, что обеспечивает спортсмену яркий силуэт на футбольном поле. Манишка отлично подойдет для игры в футбол или другие командные виды спорта.",0,,530,,,1,шт.,,,,"МАНИШКА MAD GUY ОРАНЖЕВАЯ JR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","МАНИШКА MAD GUY ОРАНЖЕВАЯ JR купить в магазине СпортДепо по выгодной цене. Доставка по России.",manishka-mad-guy-oranzhevaya-jr,"MAD GUY",,,
2073,"ФОРМА ИГРОКА",МАНИШКИ,"МАНИШКА MAD GUY СИНЯЯ JR",,"Тренировочная жилетка, манишка, детская модель  MAD GUY СИНЯЯ JR необходима для идентификации игроков одной команды во время тренировки или игры. Манишка изготовлена из сетчатого материала Mesh, по периметру обшита каймой. Пошита манишка из материала синего цвета, что придает спортсмену стильный внешний вид. При изготовлении используется прочная ткань в состав которой входят волокна полиэстера, что обеспечивает изделию высокие эксплуатационные характеристики, прочность и износостойкость, хорошие вентиляционные качества материала помогают создать благоприятный микроклимат внутри. Детали соединены при помощи крепких швов. Ткань имеет небольшой вес и обладает высокими вентиляционными свойствами. Манишка отлично подойдет для игры в футбол или другие командные виды спорта.",0,,530,,,1,шт.,,,,"МАНИШКА MAD GUY СИНЯЯ JR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","МАНИШКА MAD GUY СИНЯЯ JR купить в магазине СпортДепо по выгодной цене. Доставка по России.",manishka-mad-guy-sinyaya-jr,"MAD GUY",,,
2074,"ФОРМА ИГРОКА",МАНИШКИ,"МАНИШКА NIKE TEAM SCRIMMAGE SWOOSH VEST 361109-100",,"Манишка без рукавов белого цвета NIKE TEAM SCRIMMAGE SWOOSH VEST 361109-100  предназначена для безошибочной идентификации  игроков на футбольном поле во время тренировок или товарищеских матчей. На фронтальной стороне нанесен большой логотип Nike черного цвета. Модель имеет прямой крой с округлой горловиной, она свободно сидит на теле футболиста, не сковывая движений. Изготовлена манишка из сетчатой ткани, которая состоит из полиэстера, современного, синтетического материала, который отличается высокой прочностью, не мнется, не маркий и отлично стирается. Этот материал имеет отличные эксплуатационные характеристики,  он прочный и эластичный, может выдержать значительные физические нагрузки без разрывов и деформаций.",0,361109-100,390,690,,1,шт.,https://www.sportdepo.ru/gallery/dp0002518b.jpeg,,,"МАНИШКА NIKE TEAM SCRIMMAGE SWOOSH VEST 361109-100","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","МАНИШКА NIKE TEAM SCRIMMAGE SWOOSH VEST 361109-100 купить в магазине СпортДепо по выгодной цене. Доставка по России.",manishka-nike-team-scrimmage-swoosh-vest-361109-100,Nike,,,
2075,"ФОРМА ИГРОКА",МАНИШКИ,"МАНИШКА NIKE TEAM SCRIMMAGE SWOOSH VEST 361109-371",,"Манишка без рукавов зеленого цвета NIKE TEAM SCRIMMAGE SWOOSH VEST 361109-371 служит для быстрой идентификации игроков одной команды при проведении тренировок или двухсторонних дружеских матчей. Спереди нанесен большой логотип Nike. Изделие имеет прямой, свободный крой с большим, округлым воротом. На футболисте манишка сидит свободно, не ограничивая его движений. Для меньшего веса и воздухопроницаемости она изготовлена из сетчатой ткани, в состав которой входит полиэстер. Это прочный и эластичный материал, который выдерживает значительные нагрузки и не деформируется при этом, всегда возвращается в первоначальную форму. Материал имеет аккуратный внешний вид, не маркий и немнущийся, он отлично стирается в автоматическом режиме и быстро сохнет.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 200 x 200 x 15 мм.Вес: ~ 0.05 кг.",0,361109-371,390,690,,1,шт.,https://www.sportdepo.ru/gallery/dp0006648b.jpeg,,,"МАНИШКА NIKE TEAM SCRIMMAGE SWOOSH VEST 361109-371","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","МАНИШКА NIKE TEAM SCRIMMAGE SWOOSH VEST 361109-371 купить в магазине СпортДепо по выгодной цене. Доставка по России.",manishka-nike-team-scrimmage-swoosh-vest-361109-371,Nike,,,
2076,"ФОРМА ИГРОКА",МАНИШКИ,"МАНИШКА NIKE TEAM SCRIMMAGE SWOOSH VEST 361109-630",,"Манишка без рукавов красного цвета NIKE TEAM SCRIMMAGE SWOOSH VEST 361109-630 позволяет быстро и безошибочно идентифицировать футболистов, как своей команды, так и команды противника, во время тренировочных матчей. Спереди нанесен большой логотип Nike. Изделие имеет прямой крой с большой овальной горловиной. За счет своей сетчатой структуры, модель имеет малый вес и хорошую вентиляцию. При изготовлении манишки используется современный синтетический материал, в состав которого входит полиэстер, имеющий прочную. эластичную структуру, он выдерживает значительные нагрузки и деформации, не рвется и всегда возвращается в первоначальную форму. Этот материал имеет привлекательный внешний вид, не выгорает под действием ультрафиолетовых лучей, отлично стирается и быстро высыхает.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 250 x 200 x 10 мм.Вес: ~ 0.054 кг.",0,361109-630,390,690,,1,шт.,https://www.sportdepo.ru/gallery/dp0001609.jpeg,,,"МАНИШКА NIKE TEAM SCRIMMAGE SWOOSH VEST 361109-630","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","МАНИШКА NIKE TEAM SCRIMMAGE SWOOSH VEST 361109-630 купить в магазине СпортДепо по выгодной цене. Доставка по России.",manishka-nike-team-scrimmage-swoosh-vest-361109-630,Nike,,,
2077,"ФОРМА ИГРОКА",МАНИШКИ,"МАНИШКА PUMA TRAINING BIB 65143008",,"Манишка без рукавов оранжевого цвета PUMA TRAINING BIB 65143008 используется для идентификации футболистов одной команды во время тренировочных игр. Спереди и сзади нанесен логотип Puma cat черного цвета. Модель имеет свободный крой с большой горловиной овальной формы. Во время матча она не сковывает движений игрока.  Благодаря применению сетчатой ткани, манишка имеет малый вес и хорошую вентиляцию. Модель пошита из современного, синтетического материала – полиэстера. Этот материал имеет хорошие эксплуатационные качества, прочен, эластичен, выдерживает значительные нагрузки без разрывов и деформаций. Он так же имеет привлекательный внешний вид, не мнется и быстро сохнет после стирки.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 90 x 210 x 70 мм.Вес: ~ 0.06 кг.",0,65143008,390,690,,1,шт.,https://www.sportdepo.ru/gallery/z011579b.jpeg,,,"МАНИШКА PUMA TRAINING BIB 65143008","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","МАНИШКА PUMA TRAINING BIB 65143008 купить в магазине СпортДепо по выгодной цене. Доставка по России.",manishka-puma-training-bib-65143008,Puma,XL,,
2078,"ФОРМА ИГРОКА",МАНИШКИ,"МАНИШКА PUMA TRAINING BIB 65143016",,"Манишка без рукавов яркого, желто-зеленого цвета PUMA TRAINING BIB 65143016 служит для возможности идентификации игроков на поле по командам во время командных или тренировочных игр. Спереди и сзади нанесен логотип Puma cat черного цвета. Манишка прямого кроя с округлым воротом свободно сидит на футболисте во время матча. Изготовлена из полиэстера, синтетического материала, который обладает хорошими износостойкими свойствами и прочными характеристиками. Этот материал имеет привлекательный внешний вид, не выгорает под действием ультрафиолетовых лучей, отлично стирается и быстро высыхает.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 180 x 330 x 10 мм.Вес: ~ 0.058 кг.",0,65143016,390,690,,1,шт.,https://www.sportdepo.ru/gallery/dp0001939b.jpeg,,,"МАНИШКА PUMA TRAINING BIB 65143016","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","МАНИШКА PUMA TRAINING BIB 65143016 купить в магазине СпортДепо по выгодной цене. Доставка по России.",manishka-puma-training-bib-65143016,Puma,XL,,
2079,"ФОРМА ИГРОКА",МАНИШКИ,"МАНИШКА NIKE TEAM SCRIMMAGE VEST 119878-311",,"Манишка без рукавов яркого, зеленого цвета NIKE TEAM SCRIMMAGE VEST 119878-311 служит для идентификации  игроков, относящихся к разным командам, на игровом поле во время тренировочных или командных игр в футбол. Модель имеет свободный покрой без рукавов и округлую горловину. Манишка одевается поверх футбольной формы. Она свободно сидит на фигуре спортсмена не сковывает и не ограничивает свободы движений. Модель выполнена из сетчатого материала, который отлично пропускает воздух, обеспечивая вентиляцию тела. На фронтальной стороне нанесен большой логотип Nike в треугольной рамке. Второй логотип расположен сзади в районе затылка. Модель пошита из современной синтетической ткани, состоящей из полиэстера. Этот материал имеет прочную, эластичную структуру, которая способна выдержать значительные, механические нагрузки, без потери внешнего вида. Материал имеет высокую износостойкость, что позволяет пользоваться манишкой на протяжении длительного периода. Манишка имеет стильный, внешний вид и выдерживает многократные стирки.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 250 x 150 x 10 мм.Вес: ~ 0.1 кг.",0,119878-311,290,490,,1,шт.,https://www.sportdepo.ru/gallery/z007994.jpeg,,,"МАНИШКА NIKE TEAM SCRIMMAGE VEST 119878-311","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","МАНИШКА NIKE TEAM SCRIMMAGE VEST 119878-311 купить в магазине СпортДепо по выгодной цене. Доставка по России.",manishka-nike-team-scrimmage-vest-119878-311,Nike,,,
2080,"ФОРМА ИГРОКА",МАНИШКИ,"МАНИШКА NIKE TEAM SCRIMMAGE VEST 119878-414",,"Манишка без рукавов бирюзового цвета NIKE TEAM SCRIMMAGE VEST 119878-414 предназначена для идентификации игроков по принадлежности к командам во время тренировок или командных игр. На фронтальной стороне нанесен логотип Nike в треугольной рамке, сзади в районе затылка расположен классический логотип Nike. Манишки имеет свободный покрой с горловиной полукруглой формы. Во время игры она не ограничивает движений спортсменов. Изготовлена из сетчатого материала, что обеспечивает манишке малый вес и хорошую воздухопроницаемость. Состав ткани – стопроцентный полиэстер. Это современный, синтетический материал, который обладает отличными эксплуатационными качествами, он прочный и эластичный, что делает эксплуатацию манишки более длительной. Он имеет стильный внешний вид и выдерживает многократные стирки.",0,119878-414,290,490,,1,шт.,https://www.sportdepo.ru/gallery/z001524.jpeg,,,"МАНИШКА NIKE TEAM SCRIMMAGE VEST 119878-414","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","МАНИШКА NIKE TEAM SCRIMMAGE VEST 119878-414 купить в магазине СпортДепо по выгодной цене. Доставка по России.",manishka-nike-team-scrimmage-vest-119878-414,Nike,S/M,,
2081,"ФОРМА ИГРОКА",ТРУСЫ,"ТРУСЫ ИГРОВЫЕ NIKE LASER WOVEN III SHORT WB 725901-100 SR",,"Стильные игровые трусы для футболистов, мужская взрослая модель NIKE LASER WOVEN III SHORT NB 725901-100 SR выполнены из материала цвета белого со стильным логотипом производителя контрастного черного цвета.  Трусы имеют аккуратный внешний вид и отлично смотрятся на теле футболиста во время игры. За счет применения прямого классического покроя с прямыми штанинами, шорты удобно сидят на фигуре, не перекручиваются и не смещаются. На талии прочно фиксируются при помощи эластичной резинки, которая вшита в поясе. Пошиты из современного качественного материала, в состав которого входит полиэстер, волокна которого придают ткани высокую прочность. Материал хорошо держит форму, не вытягивается, после деформаций всегда возвращается в первоначальное состояние. Ткань хорошо пропускает свежий воздух, что обеспечивает отличный воздухообмен и снабжает кожу достаточным количеством кислорода. При производстве применяется специальная технология Dri-FIT,  которая обеспечивает впитывание пота с поверхности тела и обеспечивает отвод на наружный слой, где происходит его испарение. Такие шорты подойдут для занятий футболом или для других активных видов спорта, они так же могут использоваться в повседневной активной жизни.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 279 x 375 x 12 мм.Вес: ~ 0.123 кг.",0,725901-100,1690,,,1,шт.,"https://www.sportdepo.ru/gallery/dp0015571b.jpeg https://www.sportdepo.ru/gallery/dp00155711.jpeg",,,"ТРУСЫ ИГРОВЫЕ NIKE LASER WOVEN III SHORT WB 725901-100 SR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","ТРУСЫ ИГРОВЫЕ NIKE LASER WOVEN III SHORT WB 725901-100 SR купить в магазине СпортДепо по выгодной цене. Доставка по России.",trusy-igrovye-nike-laser-woven-iii-short-wb-725901-100-sr,Nike,S,,
