1;Брелок рфс россия 19201;;;;19201;49;50;0;1;шт;https://i4.amd-sport.ru/1/8360/83598990/6e1ffd/brelok-rfs-rossiya-19201.jpg;;;Брелок рфс россия 19201;;;Brelok-rfs-rossiya;;68784666;;Бренд;noname;Модификация;Базовая
2;Карабин atributika & club цска 18701;;;;18701;117;120;0;1;шт;https://i4.amd-sport.ru/1/8747/87460725/6e1ffd/karabin-atributika-club-cska-18701.jpg;;;Карабин atributika & club цска 18701;;;Karabin-atributika-club-cska;;72082356;;Бренд;ATRIBUTIKA & CLUB;Модификация;Базовая
3;Стакан пивной фк «крылья советов» 0,25 стекло;;;1;;117,26;0;0;1;шт;https://i4.amd-sport.ru/1/8360/83598782/6e1ffd/stakan-pivnoj-fk-krylya-sovetov-0-25-steklo.jpg;;;Стакан пивной фк «крылья советов» 0,25 стекло;;;Stakan-pivnoj-fk-krylya-sovetov-0-25-steklo;;68784524;;Бренд;noname;Модификация;Базовая
4;"Магнит fifa zabivaka удар!"" сн513""";;"Стильная наклейка-магнит с символикой чемпионата мира по футболу 2018 года в России FIFA ZABIVAKA УДАР!"" СН513, на магните изображен талисман чемпионата мира по футболу, волченок-Забивака, с мячом. Модель имеет стильный внешний вид и будет отличным подарком для футбольных болельщиков. Официальный, лицензированный продукт.""";;СН513;127;130;0;1;шт;"https://i4.amd-sport.ru/1/8995/89940432/6e1ffd/magnit-fifa-zabivaka-udar-sn513.jpg
https://i1.amd-sport.ru/1/8995/89940434/6e1ffd/magnit-fifa-zabivaka-udar-sn513.jpg";;;"Магнит fifa zabivaka удар!"" сн513""";;;Magnit-fifa-zabivaka-udar-sn513;;73779163;;Бренд;FIFA;Модификация;Базовая
5;"Магнит fifa zabivaka фристайл!"" сн516""";;"Стильная наклейка-магнит с символикой чемпионата мира по футболу 2018 года в России FIFA ZABIVAKA ФРИСТАЙЛ!"" СН516 брелок украшен изображением талисмана чемпионата мира по футболу, волченока-Забиваки, с мячом. Модель имеет стильный внешний вид и будет отличным подарком для футбольных болельщиков. Официальный, лицензированный продукт.""";;СН516;127;130;0;1;шт;https://i1.amd-sport.ru/1/8995/89940436/6e1ffd/magnit-fifa-zabivaka-fristajl-sn516.jpg;;;"Магнит fifa zabivaka фристайл!"" сн516""";;;Magnit-fifa-zabivaka-fristajl-sn516;;73779166;;Бренд;FIFA;Модификация;Базовая
6;Пакет подарочный fifa 34*28*9см т11904/т11905;;Стильный подарочный пакет с символикой чемпионата мира по футболу 2018 года в России FIFA 34*28*9СМ Т11904/Т11905, Пакет изготовлен из глянцевой бумаги с стильной ручкой шнурком. На пакете изображен кубок чемпионата мира по футболу и  талисман, волченок-Забивака. Официальный, лицензированный продукт.;;Т11904/Т11905;127;130;0;1;шт;"https://i4.amd-sport.ru/1/8995/89940439/6e1ffd/paket-podarochnyj-fifa-34-28-9sm-t11904-t11905.jpg
https://i1.amd-sport.ru/1/8995/89940446/6e1ffd/paket-podarochnyj-fifa-34-28-9sm-t11904-t11905.jpg";;;Пакет подарочный fifa 34*28*9см т11904/т11905;;;Paket-podarochnyj-fifa-34-28-9sm-t11904-t11905;;73779168;;Бренд;FIFA;Модификация;Базовая
7;Магнит иск дина корона;;;;;146;150;0;1;шт;https://i4.amd-sport.ru/1/8360/83598763/6e1ffd/magnit-isk-dina-korona.jpg;;;Магнит иск дина корона;;;Magnit-isk-dina-korona;;68784502;;Бренд;noname;Модификация;Базовая
8;Магнит иск дина пушка;;;;;146;150;0;1;шт;https://i4.amd-sport.ru/1/8360/83598764/6e1ffd/magnit-isk-dina-pushka.jpg;;;Магнит иск дина пушка;;;Magnit-isk-dina-pushka;;68784504;;Бренд;noname;Модификация;Базовая
9;Наклейка ребенок в машине (футбол);;Наклейка «Ребенок в машине» с изображением ребенка с мячом. Наклейка имеет яркую расцветку и выполнена в виде ромба, она крепится клеящим слоем на заднее стекло автомобиля. Данная наклейка призвана предупреждать о маленьком ребенке в автомобиле и быть предельно аккуратными и осторожными. Наклейка легко клеится на чистое стекло и без следа удаляется.Размеры и Вес в упаковке: Размеры (Д х Ш х В): 170 x 195 x 3 мм.  Вес: 0.01 кг.;;NoCode;146;150;0;1;шт;https://i4.amd-sport.ru/1/8746/87459416/6e1ffd/naklejka-rebenok-v-mashine-futbol.jpg;;;Наклейка ребенок в машине (футбол);;;Naklejka-rebenok-v-mashine-futbol;;72081278;;Бренд;НАКЛЕЙКА;Модификация;Базовая
10;Наклейка сердце футбольное цветное 12*12 см №03;;Наклейка «сердце футбольное» цветное 12*12 СМ №03 выполнена в виде мяча, который имеет форму сердца, она символизирует любовь к футболу. Наклейка имеет с одной стороны клеящий слой, что позволяет без труда наклеить ее на ровную и чистую поверхность.Размеры и Вес в упаковке: Размеры (Д х Ш х В): 150 x 220 x 5 мм.  Вес: 0.008 кг.;;Ф#03;146;150;0;1;шт;https://i4.amd-sport.ru/1/8746/87459417/6e1ffd/naklejka-serdce-futbolnoe-cvetnoe-12-12-sm-03.jpg;;;Наклейка сердце футбольное цветное 12*12 см №03;;;Naklejka-serdce-futbolnoe-cvetnoe-12-12-sm;;72081279;;Бренд;НАКЛЕЙКА;Модификация;Базовая
